id,title,body,category,priority
h09kzfln,Disponibilità articolo toolkit sviluppo,Siamo interessati a ordinare per sede Milano ma sul sito risulta non disponibile.,Commerciale,media
imk8gxe2,Accesso negato a upload file,Il sistema mi impedisce di entrare in sulla dashboard principale dicendo che non ho i permessi.,Tecnico,alta
qj3sp5f2,criticità nel modulo workflow,"Dopo l'aggiornamento alla versione 2. 3, sulla dashboard principale presenta diversi malfunzionamenti.",Tecnico,alta
bsnoun0r,Accesso negato a sincronizzazione,Le mie credenziali per in orario di punta non vengono più riconosciute.,Tecnico,alta
rt4w11e7,Pagamento prestazione professionale in sospeso,Il versamento relativo a l'importo convenuto non appare nell'estratto conto. È andato a buon fine?,Amministrazione,media
douesm8r,Tempi di consegna per toolkit sviluppo,Quanto tempo richiede l'evasione di deployment on-premise?,Commerciale,media
p78oylny,Sincronizzazione archiviazione,I dati in dalla versione 2. 3 non sono allineati con le altre sezioni del sistema.,Tecnico,media
wbec2cm9,Richiesta rimborso per rinnovo servizi,È possibile ottenere l'accredito di quanto versato per il pagamento ricorrente?,Amministrazione,media
n6rj2al3,bug nel modulo archiviazione,L'applicazione mostra errori sistematici in con file superiori a 10MB.,Tecnico,alta
aagze7i8,Stato ordine soluzione cloud,A che punto è l'evasione dell'ordine con SLA garantito?,Commerciale,media
0fpex0q2,Stato richiesta toolkit sviluppo,Potete fornirmi informazioni sulla spedizione con SLA garantito?,Commerciale,media
tluw8uu5,Stato prenotazione piattaforma integrata,Serve un tracking della fornitura la configurazione enterprise.,Commerciale,media
1jneomoj,Disponibilità articolo piattaforma integrata,Avremmo necessità di modalità SaaS per un progetto imminente. È in stock?,Commerciale,bassa
7o5ujy5g,Disponibilità articolo manutenzione estesa,Potete verificare l'inventario di per il Q2 2024?,Commerciale,bassa
tj3g0rhf,Richiesta rimborso per anno contabile,Necessito dello storno del servizio premium per non conformità della prestazione.,Amministrazione,media
2bfu20we,Pagamento rinnovo servizi in sospeso,Vorrei sapere a che punto è il trasferimento fondi per il pagamento ricorrente.,Amministrazione,alta
nlkv5si9,Modifica necessità pacchetto standard,Avrei bisogno di modificare l'ordine soluzione chiavi in mano prima della spedizione.,Commerciale,media
ubq50pzo,Interruzione servizio workflow,Da stamattina durante il processo notturno si blocca continuamente e non riesco più a lavorare.,Tecnico,alta
g9l0elvd,Stato ordine toolkit sviluppo,Dove si trova attualmente la spedizione per bundle completo? La data di consegna prevista è passata.,Commerciale,bassa
1eacwni2,Sollecito per servizio cloud,La scadenza di contratto n. 12345 è passata da alcune settimane. Quando prevede di effettuare il pagamento?,Amministrazione,alta
bxs3k97p,Richiesta rimborso per fornitura materiali,Necessito dello storno della posizione cliente CLI-789 per non conformità della prestazione.,Commerciale,media
rcw9xjva,disfunzione nel modulo stampa documenti,Ho riscontrato un comportamento irregolare in in modalità avanzata che causa perdita di dati.,Tecnico,alta
m3y5estf,Richiesta bollettino per prestazione professionale,Avremmo bisogno della fattura relativa a l'abbonamento trimestrale per completare la contabilità.,Amministrazione,alta
k654m797,Richiesta preventivo per modulo CRM,Avrei bisogno di un'offerta per la configurazione enterprise comprensiva di costi e tempi di implementazione.,Commerciale,media
6tta7tal,Stato richiesta soluzione cloud,A che punto è l'evasione dell'ordine deployment on-premise?,Commerciale,media
17olxraw,Accesso negato a import massivo,Il sistema mi impedisce di entrare in in modalità avanzata dicendo che non ho i permessi.,Tecnico,alta
e06ollap,Richiesta nota di credito per servizio cloud,Potete controllare se la fattura l'accordo commerciale è stata emessa?,Amministrazione,media
9ibvbgmf,bug nel modulo workflow,In dal client desktop si verifica un'interruzione quando inserisco determinati valori.,Tecnico,alta
e8z5bfr9,Documentazione contabile consulenza,Vorrei ottenere la reportistica di l'ordine ORD-2024-001 per verifica interna.,Amministrazione,bassa
0u0ncgzl,Verifica importo rendiconto rinnovo servizi,L'IVA calcolata su l'accordo commerciale non sembra corrispondere all'aliquota pattuita.,Amministrazione,media
e6qequjj,Stato domanda soluzione cloud,Potete fornirmi informazioni sulla spedizione con contratto annuale?,Commerciale,media
qs92dtys,Sincronizzazione elaborazione batch,Il sistema non aggiorna automaticamente sulla dashboard principale e devo fare refresh manuale.,Tecnico,media
q4m62s1q,Modifica necessità sistema ERP,Vorremmo revisionare le quantità di modalità SaaS.,Commerciale,alta
fx4z634t,Sincronizzazione sincronizzazione,Il sistema non aggiorna automaticamente in ambiente produzione e devo fare refresh manuale.,Tecnico,media
bc31199z,Disponibilità articolo pacchetto base,L'articolo implementazione completa risulta esaurito. Quando rientrerà in magazzino?,Commerciale,bassa
m8d9u2gr,Verifica importo fattura canone mensile,L'importo indicato su l'importo convenuto è differente rispetto all'offerta concordata. Potete controllare?,Amministrazione,bassa
f6jne34h,Sincronizzazione gestione utenti,I dati in tramite l'interfaccia web non sono allineati con le altre sezioni del sistema.,Tecnico,media
tcrap6z2,Tempi di consegna per manutenzione estesa,Entro quando potremmo ricevere deployment on-premise se ordinassimo oggi?,Commerciale,bassa
c9ueqqw3,Anomalia nel modulo report,Ho riscontrato un comportamento irregolare in dalla versione 2. 3 che causa perdita di dati.,Tecnico,alta
9uacyjl2,Richiesta rendiconto per licenza software,Mi serve urgentemente il documento fiscale della posizione cliente CLI-789 per la chiusura.,Amministrazione,media
gm369z85,Disponibilità articolo modulo CRM,Serve conferma della pronta consegna per per sede Milano.,Commerciale,bassa
4vfdx3qh,Richiesta preventivo per piattaforma integrata,Potete inviarmi una quotazione per 10 utenti? Stiamo valutando diverse opzioni.,Commerciale,alta
m6zka2lc,Stato ordine toolkit sviluppo,Non ho ricevuto aggiornamenti su implementazione completa. Quando è prevista la consegna?,Commerciale,media
8hdtj1k1,Disponibilità articolo software gestionale,L'articolo con contratto annuale risulta esaurito. Quando rientrerà in magazzino?,Commerciale,bassa
8wjvoq2j,funzionamento irregolare nel modulo login,Si manifesta un bug critico quando opero con codice 500.,Tecnico,alta
p1xi76wk,Verifica importo fattura quota associativa,C'è uno scostamento tra l'importo di gennaio 2024 e quanto preventivato inizialmente.,Amministrazione,media
g8nk0v36,Verifica estratto conto contratto di manutenzione,Potete chiarire alcune voci presenti nell'estratto il servizio premium?,Amministrazione,bassa
1duw7dvb,Pagamento Q1 2024 in sospeso,Ho completato l'operazione di pagamento l'abbonamento trimestrale ma non vedo aggiornamenti.,Amministrazione,alta
ewfc42ar,Richiesta preventivo per soluzione cloud,Potete elaborare un'offerta su misura per il cliente aziendale?,Commerciale,media
2a4udjfn,Richiesta preventivo per piano premium,Potete elaborare un'offerta su misura per modalità SaaS?,Commerciale,media
pywfi6to,Sincronizzazione dashboard,Il sistema non aggiorna automaticamente tramite l'interfaccia web e devo fare refresh manuale.,Tecnico,media
8ey0wqrb,Verifica estratto conto rinnovo servizi,Ho notato un doppio addebito per l'ordine ORD-2024-001 nell'ultimo estratto conto.,Amministrazione,media
xt76qm72,Documentazione contabile canone mensile,Potete fornire la documentazione amministrativa della fattura n. 567?,Amministrazione,bassa
1csufhjh,malfunzionamento nel modulo elaborazione batch,La funzionalità durante il processo notturno genera risultati incoerenti ad ogni esecuzione.,Tecnico,alta
vyo39697,Interruzione servizio sincronizzazione,L'utilizzo di nel servizio schedulato causa l'arresto dell'intera applicazione senza salvare.,Tecnico,alta
gp6gr484,Richiesta preventivo per software gestionale,Ci interessa conoscere i termini per l'acquisto di 10 utenti.,Commerciale,media
5aetq19k,Pagamento abbonamento annuale in sospeso,Il pagamento di l'ordine ORD-2024-001 risulta ancora in elaborazione da diversi giorni. Potete verificare lo stato?,Amministrazione,media
cxk8yu1x,Pagamento abbonamento annuale in sospeso,"La transazione per la conteggio n. 567 sembra bloccata, potete verificare?",Amministrazione,alta
ou9mk9p7,Richiesta preventivo per licenze enterprise,Potete inviarmi una quotazione per soluzione chiavi in mano? Stiamo valutando diverse opzioni.,Commerciale,media
7tsm9r0t,Anomalia nel modulo stampa documenti,In in orario di punta si verifica un'interruzione quando inserisco determinati valori.,Tecnico,alta
jypu4ow2,Anomalia nel modulo dashboard,Rilevo anomalie persistenti nell'elaborazione di dopo l'ultimo aggiornamento.,Tecnico,media
4o0kfowm,Tempi di consegna per consulenza strategica,Entro quando potremmo ricevere soluzione chiavi in mano se ordinassimo oggi?,Commerciale,media
lyrfi337,Interruzione servizio backup,L'utilizzo di durante il processo notturno causa l'arresto dell'intera applicazione senza salvare.,Tecnico,alta
uo4bjd13,Modifica ordine pacchetto standard,Vorremmo revisionare le quantità di soluzione chiavi in mano.,Commerciale,alta
8n5idm7o,funzionamento irregolare nel modulo backup,C'è un difetto evidente nel comportamento di dopo l'ultimo aggiornamento.,Tecnico,media
6miwa7g1,Sollecito per quota associativa,La scadenza della posizione cliente CLI-789 è passata da alcune settimane. Quando prevede di effettuare il pagamento?,Amministrazione,alta
760g2vs8,comportamento inatteso nel modulo elaborazione batch,Ho riscontrato un comportamento irregolare in durante il processo notturno che causa perdita di dati.,Tecnico,alta
bo5876p9,Richiesta nota di credito per trimestre chiuso,Mi serve urgentemente il documento fiscale della fornitura di dicembre per la chiusura.,Amministrazione,media
wr95fi64,Tempi di consegna per servizi professionali,C'è possibilità di recapito immediato per con formazione inclusa?,Commerciale,media
l78b6qc5,Pagamento mese corrente in sospeso,Il bonifico relativo a l'abbonamento trimestrale non è stato ancora accreditato. C'è qualche problema?,Amministrazione,media
6ka8b5to,Funzionalità notifiche non operativa,La feature con credenziali corrette è presente ma completamente non funzionante.,Tecnico,media
7ayb8im6,Richiesta preventivo per soluzione cloud,Necessitiamo di un listino aggiornato per incluso supporto H24.,Commerciale,alta
8sfm61qd,Pagamento consulenza in sospeso,Il bonifico relativo alla transazione del 15/10 non è stato ancora accreditato. C'è qualche problema?,Amministrazione,media
ywaw6f0u,Sollecito per prestazione professionale,Vorremmo chiudere la pendenza del pagamento ricorrente al più presto.,Amministrazione,alta
qxa9325m,Richiesta preventivo per licenze enterprise,Avrei bisogno di un'offerta per per reparto vendite comprensiva di costi e tempi di implementazione.,Commerciale,media
txpr6pc8,Stato fabbisogno consulenza strategica,Dove si trova attualmente la spedizione per con formazione inclusa? La data di consegna prevista è passata.,Commerciale,bassa
74fup481,Tempi di consegna per pacchetto standard,Quali sono i tempi di consegna previsti per incluso supporto H24? Abbiamo una scadenza ravvicinata.,Commerciale,media
srx6usnp,Tempi di consegna per software gestionale,C'è possibilità di recapito immediato per il cliente aziendale?,Commerciale,media
h3wwkjeo,Performance ridotte su backup,"Quando accedo a con credenziali corrette, il sistema diventa molto lento e risponde con ritardo.",Tecnico,media
4aq3nu9q,Accesso negato a stampa documenti,La mia sessione su con file superiori a 10MB viene terminata automaticamente dopo pochi secondi.,Tecnico,bassa
8bshbe9p,Verifica estratto conto licenza software,Il prospetto di gennaio 2024 mostra addebiti che non tornano.,Amministrazione,alta
esxwxu4t,Funzionalità sincronizzazione non operativa,La feature attraverso API REST è presente ma completamente non funzionante.,Tecnico,media
bjsf6f26,Accesso negato a integrazione API,Ricevo un messaggio di accesso negato ogni volta che provo sul modulo reporting.,Tecnico,media
6k5kh95l,Disponibilità articolo piattaforma integrata,Siamo interessati a ordinare per sede Milano ma sul sito risulta non disponibile.,Commerciale,bassa
4k2e75pj,Richiesta fattura per consulenza,Mi serve urgentemente il documento fiscale del canone di febbraio per la chiusura.,Amministrazione,media
8pyr8m6q,Sollecito per quota associativa,La scadenza del pagamento ricorrente è passata da alcune settimane. Quando prevede di effettuare il pagamento?,Amministrazione,alta
c5eq4t7f,Verifica estratto conto licenza software,Il prospetto della posizione cliente CLI-789 mostra addebiti che non tornano.,Amministrazione,media
uts5y7mj,Documentazione contabile fornitura materiali,Potete inviarmi un riepilogo dettagliato delle transazioni per il servizio di supporto?,Commerciale,bassa
91e9l3mn,criticità nel modulo integrazione API,Ho riscontrato un comportamento irregolare in attraverso API REST che causa perdita di dati.,Tecnico,alta
