id,title,body,category,priority
01x9wgci,Pagamento Q1 2024 in sospeso,L'importo per l'abbonamento trimestrale è stato addebitato ma non risulta a sistema. Serve un controllo.,Amministrazione,alta
qx657knm,Tempi di consegna per consulenza strategica,Serve conferma dei lead time per con contratto annuale.,Commerciale,media
r58ho8z1,Interruzione servizio upload file,L'utilizzo di con credenziali corrette causa l'arresto dell'intera applicazione senza salvare.,Tecnico,bassa
xt76qm72,Documentazione contabile canone mensile,Potete fornire la documentazione amministrativa della fattura n. 567?,Amministrazione,bassa
5na9hcgl,Richiesta fattura per trimestre chiuso,Potete controllare se la fattura contratto n. 12345 è stata emessa?,Amministrazione,media
ml7v0nnw,Verifica estratto conto contratto di manutenzione,Nello storico l'importo convenuto appare una transazione duplicata.,Amministrazione,media
fe2t97hg,Verifica importo fattura licenza software,Sulla fattura la fattura n. 567 c'è una differenza di circa 200€ rispetto al preventivo.,Amministrazione,media
aa18v95z,Verifica estratto conto trimestre chiuso,Il prospetto della fattura n. 567 mostra addebiti che non tornano.,Amministrazione,media
gui839yh,problema tecnico nel modulo integrazione API,Si manifesta un bug critico quando opero con tramite l'interfaccia web.,Tecnico,alta
7ayb8im6,Richiesta preventivo per soluzione cloud,Necessitiamo di un listino aggiornato per incluso supporto H24.,Commerciale,alta
hk0k8tkc,Richiesta rimborso per periodo fiscale,Serve un conguaglio per il compenso consulenza dato il disservizio riscontrato.,Amministrazione,media
mcc3z7t3,Tempi di consegna per manutenzione estesa,È possibile accelerare la spedizione di con SLA garantito? Serve entro la prossima settimana.,Commerciale,media
ny97e3cw,Accesso negato a sincronizzazione,Le mie credenziali per sulla dashboard principale non vengono più riconosciute.,Tecnico,media
9w8r6eop,Interruzione servizio import massivo,Il sistema va in stop durante l'esecuzione di da ieri sera e devo riavviare tutto.,Tecnico,media
r9g4tlqi,comportamento inatteso nel modulo report,Il componente con file superiori a 10MB si comporta in modo diverso rispetto alla documentazione.,Tecnico,alta
a3ecdde9,Disponibilità articolo piano premium,Potete comunicarmi la disponibilità attuale di con contratto annuale?,Commerciale,bassa
1nw70i44,Richiesta rimborso per consulenza,Chiedo la restituzione della somma pagata per l'abbonamento trimestrale causa inadempienza.,Amministrazione,media
49bi5shb,Modifica fabbisogno pacchetto base,L'ordine per reparto vendite contiene un errore nelle specifiche. Come possiamo correggerlo?,Commerciale,alta
hlit6rbn,Informazioni su prodotto supporto tecnico,Quali sono i punti di forza del cliente aziendale?,Commerciale,alta
142hflwq,Pagamento servizio cloud in sospeso,Vorrei sapere a che punto è il trasferimento fondi per il contratto quadro.,Amministrazione,media
el9b070z,Disponibilità articolo modulo CRM,Vorrei sapere quando sarà disponibile bundle completo. Abbiamo una scadenza da rispettare.,Commerciale,media
dakyvv9o,errore di sistema nel modulo dashboard,Ho riscontrato un comportamento irregolare in dalla versione 2. 3 che causa perdita di dati.,Tecnico,alta
f9b7wja2,Verifica importo bollettino canone mensile,Sulla fattura il servizio premium c'è una differenza di circa 200€ rispetto al preventivo.,Amministrazione,media
8ey0wqrb,Verifica estratto conto rinnovo servizi,Ho notato un doppio addebito per l'ordine ORD-2024-001 nell'ultimo estratto conto.,Amministrazione,media
1csufhjh,malfunzionamento nel modulo elaborazione batch,La funzionalità durante il processo notturno genera risultati incoerenti ad ogni esecuzione.,Tecnico,alta
2fqs8zil,Disponibilità articolo pacchetto base,Avremmo necessità di per il Q2 2024 per un progetto imminente. È in stock?,Commerciale,media
9gni8u7m,Pagamento canone mensile in sospeso,"Il saldo l'abbonamento trimestrale dovrebbe già essere stato processato, ma non risulta.",Amministrazione,alta
60rm46hv,Richiesta polizza per servizio cloud,La fattura per l'accordo commerciale non è disponibile nel nostro sistema. Sarebbe possibile riceverla?,Amministrazione,media
6h0vz80d,Verifica estratto conto consulenza,Riscontro operazioni non riconosciute nel riepilogo della fornitura di dicembre.,Amministrazione,bassa
pwrg3xgo,Disponibilità articolo supporto tecnico,C'è giacenza sufficiente per deployment on-premise?,Commerciale,media
9dyzjq6v,Accesso negato a dashboard,Non ho più i privilegi necessari per operare su sul modulo reporting.,Tecnico,alta
ju8bz9lu,Accesso negato a export dati,Ottengo un errore di autorizzazione quando tento di usare sulla dashboard principale.,Tecnico,alta
rk7pe1ao,Interruzione servizio upload file,Il servizio sul modulo reporting va in crash ogni volta che lo utilizzo.,Tecnico,alta
gn4m09g6,Disponibilità articolo toolkit sviluppo,Potete comunicarmi la disponibilità attuale di con SLA garantito?,Commerciale,bassa
c9ueqqw3,Anomalia nel modulo report,Ho riscontrato un comportamento irregolare in dalla versione 2. 3 che causa perdita di dati.,Tecnico,alta
uo4bjd13,Modifica ordine pacchetto standard,Vorremmo revisionare le quantità di soluzione chiavi in mano.,Commerciale,alta
0vqnxua5,Richiesta rimborso per periodo fiscale,Vorrei richiedere il rimborso per la fattura n. 567 in quanto il servizio non è stato fornito come concordato.,Amministrazione,media
y5rih1oq,Accesso negato a report,Le mie credenziali per tramite l'interfaccia web non vengono più riconosciute.,Tecnico,alta
h0ku1cyz,Richiesta fattura per periodo fiscale,Non trovo traccia della ricevuta per il servizio premium nel sistema contabile.,Amministrazione,media
ewfc42ar,Richiesta preventivo per soluzione cloud,Potete elaborare un'offerta su misura per il cliente aziendale?,Commerciale,media
0841r4ok,Modifica interesse pacchetto base,Avrei bisogno di modificare l'ordine 50 licenze prima della spedizione.,Commerciale,media
j7vo4rjq,Stato ordine modulo CRM,La richiesta implementazione completa è stata presa in carico?,Commerciale,media
wa08ltjb,Richiesta preventivo per servizi professionali,Siamo interessati a per sede Milano e vorremmo conoscere i prezzi applicabili.,Commerciale,alta
8hdtj1k1,Disponibilità articolo software gestionale,L'articolo con contratto annuale risulta esaurito. Quando rientrerà in magazzino?,Commerciale,bassa
28f0us4k,Stato esigenza pacchetto standard,L'ordine per reparto vendite non è ancora arrivato. Potete verificare a che punto è?,Commerciale,media
5geav52j,Richiesta preventivo per sistema ERP,Siamo interessati al cliente aziendale e vorremmo conoscere i prezzi applicabili.,Commerciale,alta
ib3vj7b6,Comportamento anomalo durante stampa documenti,"Quando provo a dal client desktop, il sistema non completa l'operazione come dovrebbe.",Tecnico,alta
0wyp6xa6,Accesso negato a backup,L'autenticazione su sulla dashboard principale fallisce anche se inserisco la password corretta.,Tecnico,alta
ou9mk9p7,Richiesta preventivo per licenze enterprise,Potete inviarmi una quotazione per soluzione chiavi in mano? Stiamo valutando diverse opzioni.,Commerciale,media
nn1ramh6,Stato ordine piano premium,Non ho ricevuto aggiornamenti su deployment on-premise. Quando è prevista la consegna?,Commerciale,media
5w05c4n2,Disponibilità articolo piano premium,Potete verificare l'inventario di soluzione chiavi in mano?,Commerciale,bassa
fcg7drt8,Verifica estratto conto licenza software,Riscontro operazioni non riconosciute nel riepilogo della transazione del 15/10.,Amministrazione,media
x4m1yumv,malfunzionamento nel modulo backup,Il modulo codice 500 produce output non deterministici.,Tecnico,alta
ag8590q6,Accesso negato a import massivo,Dopo l'ultimo aggiornamento non posso più accedere a sulla dashboard principale.,Tecnico,alta
wr21fzzb,Accesso negato a login,Il sistema mi impedisce di entrare in con file superiori a 10MB dicendo che non ho i permessi.,Tecnico,alta
6ibnnjsf,Stato necessità pacchetto base,La commessa soluzione chiavi in mano risulta ancora in elaborazione dopo due settimane.,Commerciale,alta
m9bvdvgi,Accesso negato a upload file,Dopo l'ultimo aggiornamento non posso più accedere a in ambiente produzione.,Tecnico,alta
wkcxry22,Stato prenotazione soluzione cloud,L'ordine con contratto annuale non è ancora arrivato. Potete verificare a che punto è?,Commerciale,media
xq55c04p,Accesso negato a archiviazione,La mia sessione su durante il processo notturno viene terminata automaticamente dopo pochi secondi.,Tecnico,media
688mwpbj,Accesso negato a stampa documenti,La mia sessione su con credenziali corrette viene terminata automaticamente dopo pochi secondi.,Tecnico,media
xy9oluzp,Pagamento periodo fiscale in sospeso,L'importo per il servizio premium è stato addebitato ma non risulta a sistema. Serve un controllo.,Amministrazione,media
b2cez2nz,Pagamento prestazione professionale in sospeso,L'importo per la posizione cliente CLI-789 è stato addebitato ma non risulta a sistema. Serve un controllo.,Amministrazione,media
v68eb5p4,Stato ordine supporto tecnico,A che punto è l'evasione dell'ordine modalità SaaS?,Commerciale,media
esxwxu4t,Funzionalità sincronizzazione non operativa,La feature attraverso API REST è presente ma completamente non funzionante.,Tecnico,media
e5i53oeu,Tempi di consegna per software gestionale,È possibile accelerare la spedizione di con contratto annuale? Serve entro la prossima settimana.,Commerciale,media
vnh1wr0e,Pagamento prestazione professionale in sospeso,Il versamento relativo alla transazione del 15/10 non appare nell'estratto conto. È andato a buon fine?,Amministrazione,alta
rkmj2g0u,Accesso negato a upload file,La mia sessione su codice 500 viene terminata automaticamente dopo pochi secondi.,Tecnico,media
vmuy9j31,Accesso negato a integrazione API,Le mie credenziali per con utenti multipli non vengono più riconosciute.,Tecnico,bassa
2hffa8l1,Verifica estratto conto consulenza,Riscontro operazioni non riconosciute nel riepilogo del pagamento ricorrente.,Amministrazione,media
6wvoqajk,Richiesta preventivo per supporto tecnico,Chiedo gentilmente una proposta commerciale per con formazione inclusa da presentare alla direzione.,Commerciale,media
xgpqv3lu,Verifica estratto conto quota associativa,Nell'estratto del pagamento ricorrente c'è una transazione che non ricordo di aver autorizzato.,Amministrazione,media
6x89g3d7,Richiesta preventivo per training on-site,Vorremmo ricevere un computo dettagliato per con contratto annuale.,Commerciale,alta
bzfh3i16,Pagamento prestazione professionale in sospeso,Abbiamo inviato il pagamento per contratto n. 12345 tre giorni fa ma non c'è ancora riscontro.,Amministrazione,alta
ivyh5x9i,Disponibilità articolo pacchetto base,Quando è previsto il rifornimento di incluso supporto H24?,Commerciale,alta
u02jmzos,Accesso negato a workflow,Ottengo un errore di autorizzazione quando tento di usare in ambiente produzione.,Tecnico,media
6tta7tal,Stato richiesta soluzione cloud,A che punto è l'evasione dell'ordine deployment on-premise?,Commerciale,media
b0upbs6h,Sollecito per servizio cloud,La posizione la rendiconto n. 567 è ancora aperta nonostante i termini concordati siano scaduti.,Amministrazione,alta
om2bgr7r,irregolarità nel modulo report,Rilevo anomalie persistenti nell'elaborazione di dopo l'ultimo aggiornamento.,Tecnico,media
lk5km7ia,Interruzione servizio dashboard,L'applicazione si arresta improvvisamente quando utilizzo sulla dashboard principale.,Tecnico,alta
bc31199z,Disponibilità articolo pacchetto base,L'articolo implementazione completa risulta esaurito. Quando rientrerà in magazzino?,Commerciale,bassa
p2y3ne0n,Interruzione servizio upload file,Il modulo sul modulo reporting causa il freeze dell'intera interfaccia.,Tecnico,media
5lix6med,problema tecnico nel modulo login,In con credenziali corrette si verifica un'interruzione quando inserisco determinati valori.,Tecnico,alta
89174lap,irregolarità nel modulo import massivo,Ho riscontrato un comportamento irregolare in nel servizio schedulato che causa perdita di dati.,Tecnico,alta
9uacyjl2,Richiesta rendiconto per licenza software,Mi serve urgentemente il documento fiscale della posizione cliente CLI-789 per la chiusura.,Amministrazione,media
lwrro4ze,Tempi di consegna per pacchetto standard,Quali sono i tempi di consegna previsti per versione professionale? Abbiamo una scadenza ravvicinata.,Commerciale,media
3203iotr,Anomalia nel modulo export dati,La funzionalità attraverso API REST genera risultati incoerenti ad ogni esecuzione.,Tecnico,alta
svqgoim3,Modifica interesse licenze enterprise,Avrei bisogno di modificare l'ordine con formazione inclusa prima della spedizione.,Commerciale,media
txby0qj3,Tempi di consegna per software gestionale,Entro quando potremmo ricevere per sede Milano se ordinassimo oggi?,Commerciale,media
clm6vp21,Disponibilità articolo supporto tecnico,Potete comunicarmi la disponibilità attuale di con contratto annuale?,Commerciale,bassa
3ind7vf7,Stato ordine software gestionale,La commessa con contratto annuale risulta ancora in elaborazione dopo due settimane.,Commerciale,media
dc1tkk21,Richiesta preventivo per toolkit sviluppo,Vorrei ricevere un preventivo dettagliato per con SLA garantito con le relative condizioni commerciali.,Commerciale,alta
7yxu39he,Modifica domanda piattaforma integrata,Potete aggiornare i dettagli dell'ordine bundle completo?,Commerciale,alta
aagze7i8,Stato ordine soluzione cloud,A che punto è l'evasione dell'ordine con SLA garantito?,Commerciale,media
t64n3svv,Stato ordine licenze enterprise,Non ho ricevuto aggiornamenti su soluzione chiavi in mano. Quando è prevista la consegna?,Commerciale,media
q5sb8v5f,Modifica fabbisogno piattaforma integrata,Serve una variazione alla commessa con contratto annuale.,Commerciale,media
nlkv5si9,Modifica necessità pacchetto standard,Avrei bisogno di modificare l'ordine soluzione chiavi in mano prima della spedizione.,Commerciale,media
cni3f0y3,Promozioni su consulenza strategica,Vorrei sapere se per il cliente aziendale sono previste promozioni nei prossimi mesi.,Commerciale,media
xgkkv173,Modifica ordine soluzione cloud,Avrei bisogno di modificare l'ordine incluso supporto H24 prima della spedizione.,Commerciale,alta
hnn8ofes,Anomalia nel modulo archiviazione,Il componente tramite l'interfaccia web si comporta in modo diverso rispetto alla documentazione.,Tecnico,alta
58zstug9,Disponibilità articolo consulenza strategica,Potete comunicarmi la disponibilità attuale di 50 licenze?,Commerciale,bassa
e1296jr3,Tempi di consegna per supporto tecnico,C'è possibilità di recapito immediato per versione professionale?,Commerciale,media
bxs3k97p,Richiesta rimborso per fornitura materiali,Necessito dello storno della posizione cliente CLI-789 per non conformità della prestazione.,Commerciale,media
816nt6t1,Anomalia nel modulo dashboard,C'è un difetto evidente nel comportamento di in ambiente produzione.,Tecnico,alta
q7ks3d55,Sincronizzazione export dati,I dati in con utenti multipli non sono allineati con le altre sezioni del sistema.,Tecnico,media
l2xwwsw5,Stato ordine servizi professionali,Non ho ricevuto aggiornamenti su con SLA garantito. Quando è prevista la consegna?,Commerciale,media
7u9f6xk7,Documentazione contabile abbonamento annuale,Mi occorre il dossier completo per il pagamento ricorrente ai fini del bilancio.,Amministrazione,media
a6080ops,Sollecito per canone mensile,Il termine per la rata semestrale è decorso senza che ricevessimo il pagamento.,Amministrazione,alta
kgjpyp83,Sincronizzazione integrazione API,I dati in durante il processo notturno non sono allineati con le altre sezioni del sistema.,Tecnico,media
j7i8ylzf,Verifica importo fattura consulenza,Noto una divergenza tra il totale di l'ordine ORD-2024-001 e l'offerta originale.,Amministrazione,media
0mbq7fvf,Sollecito per licenza software,Il termine per la fornitura di dicembre è decorso senza che ricevessimo il pagamento.,Amministrazione,alta
56v6wd7z,Modifica ordine software gestionale,L'ordine soluzione chiavi in mano contiene un errore nelle specifiche. Come possiamo correggerlo?,Tecnico,alta
ml5m8ekh,Interruzione servizio elaborazione batch,Il servizio dalla versione 2. 3 va in crash ogni volta che lo utilizzo.,Tecnico,alta
72arwk18,Anomalia nel modulo upload file,"Dopo l'aggiornamento alla versione 2. 3, dopo l'ultimo aggiornamento presenta diversi malfunzionamenti.",Tecnico,alta
24t8ceo9,funzionamento irregolare nel modulo backup,La funzionalità dalla versione 2. 3 genera risultati incoerenti ad ogni esecuzione.,Tecnico,alta
x9o1v3sv,Verifica estratto conto mese corrente,Il prospetto della rata semestrale mostra addebiti che non tornano.,Amministrazione,alta
5teu503a,Anomalia nel modulo stampa documenti,Rilevo anomalie persistenti nell'elaborazione di durante il processo notturno.,Tecnico,alta
w1dnu6vk,Sincronizzazione notifiche,I dati in tramite l'interfaccia web non sono allineati con le altre sezioni del sistema.,Tecnico,media
0rs043o2,Anomalia nel modulo upload file,In con credenziali corrette si verifica un'interruzione quando inserisco determinati valori.,Tecnico,alta
fxzyg59v,Richiesta fattura per rinnovo servizi,Vorrei ottenere copia della documentazione fiscale relativa a l'abbonamento trimestrale.,Amministrazione,bassa
1y2qzf9q,Stato ordine piattaforma integrata,Serve un tracking della fornitura implementazione completa.,Commerciale,media
cxk8yu1x,Pagamento abbonamento annuale in sospeso,"La transazione per la conteggio n. 567 sembra bloccata, potete verificare?",Amministrazione,alta
rscbqh5n,Sincronizzazione archiviazione,Il sistema non aggiorna automaticamente in orario di punta e devo fare refresh manuale.,Tecnico,alta
e06ollap,Richiesta nota di credito per servizio cloud,Potete controllare se la fattura l'accordo commerciale è stata emessa?,Amministrazione,media
v94y8gq1,Verifica estratto conto fornitura materiali,Su contratto n. 12345 compare un movimento che non corrisponde a nessuna nostra operazione.,Amministrazione,media
gm369z85,Disponibilità articolo modulo CRM,Serve conferma della pronta consegna per per sede Milano.,Commerciale,bassa
1dt43gxv,Accesso negato a archiviazione,La mia sessione su in orario di punta viene terminata automaticamente dopo pochi secondi.,Tecnico,alta
0exyphul,Pagamento licenza software in sospeso,"Il saldo contratto n. 12345 dovrebbe già essere stato processato, ma non risulta.",Amministrazione,media
qjl0ee80,Richiesta rimborso per servizio premium,Necessito dello storno della fattura n. 567 per non conformità della prestazione.,Amministrazione,media
r59jzfq8,Comportamento anomalo durante integrazione API,"Quando provo a in orario di punta, il sistema non completa l'operazione come dovrebbe.",Tecnico,media
6miwa7g1,Sollecito per quota associativa,La scadenza della posizione cliente CLI-789 è passata da alcune settimane. Quando prevede di effettuare il pagamento?,Amministrazione,alta
7o5ujy5g,Disponibilità articolo manutenzione estesa,Potete verificare l'inventario di per il Q2 2024?,Commerciale,bassa
x2k7f29a,Modifica ordine manutenzione estesa,Chiedo gentilmente di modificare l'indirizzo di consegna per 50 licenze.,Commerciale,alta
jfcer1ta,Documentazione contabile mese corrente,Vorrei ottenere la reportistica della posizione cliente CLI-789 per verifica interna.,Amministrazione,bassa
1ama5m26,Verifica estratto conto periodo fiscale,Il rendiconto l'abbonamento trimestrale presenta alcuni movimenti che necessitano di chiarimento.,Amministrazione,media
kjh3wv83,irregolarità nel modulo sincronizzazione,Rilevo anomalie persistenti nell'elaborazione di in orario di punta.,Tecnico,media
ez9crm0p,Stato requisizione supporto tecnico,Abbiamo necessità di sapere quando arriverà con contratto annuale per programmare le attività.,Commerciale,media
rcw9xjva,disfunzione nel modulo stampa documenti,Ho riscontrato un comportamento irregolare in in modalità avanzata che causa perdita di dati.,Tecnico,alta
v0ubw3wz,Accesso negato a integrazione API,L'autenticazione su con utenti multipli fallisce anche se inserisco la password corretta.,Tecnico,alta
bk782c3a,Interruzione servizio elaborazione batch,Si verifica un'interruzione ripetuta quando accedo a con file superiori a 10MB.,Tecnico,alta
